id;assessment_date;next_review_date;evidence;confidence;growth_direction;person_id;skill_id;current_level_id;previous_level_id
1;2025-06-01;2025-12-01;完成3个核心项目开发;HIGH;向架构方向发展;1;1;4;3
2;2025-06-01;2025-12-01;Spring Boot微服务项目经验;HIGH;深入微服务架构;1;2;4;3
3;2025-06-01;2025-12-01;数据库建模与优化案例;MEDIUM;提升数据库架构能力;1;3;3;
4;2025-06-01;2025-12-01;带领2个项目成功交付;HIGH;向高级管理发展;3;4;4;3
5;2025-06-01;2025-12-01;PMP认证;HIGH;提升项目管理方法论;3;11;4;3
6;2025-06-01;2025-12-01;前端组件库开发经验;MEDIUM;深化前端工程化;2;6;3;2
7;2025-06-01;2025-12-01;数据库高可用方案设计;HIGH;向数据库专家发展;6;3;5;4
8;2025-06-01;2025-12-01;客户满意度持续达标;HIGH;提升客户关系管理;5;5;3;2
9;2025-06-01;2025-12-01;新人培训反馈优秀;HIGH;继续深化带教能力;7;10;5;4
10;2025-06-01;2025-12-01;基础测试用例编写;LOW;学习自动化测试;8;7;2;
11;2025-06-01;2025-12-01;运维自动化脚本开发;MEDIUM;提升DevOps能力;9;8;3;2
12;2025-06-01;2025-12-01;业务流程梳理与优化;HIGH;深入业务架构;4;9;3;2
13;2025-06-01;2025-12-01;产品设计方案输出;HIGH;向高级产品经理发展;10;12;4;3
14;2025-06-01;2025-12-01;Java基础开发能力;MEDIUM;提升技术深度;11;1;3;2
15;2025-06-01;2025-12-01;基础业务理解;LOW;加强业务学习;12;9;1;
